Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CATAMARCA,Zona Inicial_Z-CHACO,Zona Inicial_Z-CHUBUT,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-CORRIENTES,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-FORMOSA,Zona Inicial_Z-JUJUY,Zona Inicial_Z-LA PAMPA,Zona Inicial_Z-LA RIOJA,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-MISIONES,Zona Inicial_Z-NEUQUEN,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA CRUZ,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TIERRA DEL FUEGO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CATAMARCA,Provincia_CHACO,Provincia_CHUBUT,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_CORRIENTES,Provincia_ENTRE RIOS,Provincia_FORMOSA,Provincia_JUJUY,Provincia_LA PAMPA,Provincia_LA RIOJA,Provincia_MENDOZA,Provincia_MISIONES,Provincia_NEUQUEN,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA CRUZ,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TIERRA DEL FUEGO,Provincia_TUCUMAN
2022-02-12,49,0 days 00:06:15.857142857,0 days 00:19:32.367346938,0 days 00:27:59.836734693,6.0,2.0,0.0,13,0,8,30,19,2,5,11,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-13,54,0 days 00:08:58.388888888,0 days 00:20:02.537037037,0 days 00:36:50.777777777,3.0,1.0,0.0,9,0,12,27,27,4,2,7,8,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-02-14,71,0 days 00:05:46.830985915,0 days 00:42:02.140845070,0 days 00:52:33.126760563,4.0,1.0,0.0,4,0,15,42,29,2,6,16,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-02-15,82,0 days 00:09:01.585365853,0 days 00:37:42.926829268,0 days 00:48:33.329268292,1.0,0.0,0.0,9,0,14,49,33,4,8,16,10,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,42,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-02-16,98,0 days 00:12:27.887755102,0 days 00:30:50.163265306,0 days 00:44:32.132653061,6.0,7.0,0.0,14,0,20,54,44,3,10,21,12,11,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,37,0,0,0,50,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2022-02-17,74,0 days 00:04:41.351351351,0 days 00:32:55.027027027,0 days 00:39:29.324324324,2.0,3.0,0.0,8,0,10,44,30,2,6,20,10,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,29,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2022-02-18,68,0 days 00:16:05.470588235,0 days 00:47:15.176470588,0 days 01:08:45,7.0,3.0,0.0,11,0,14,37,31,4,4,14,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-02-19,69,0 days 00:14:13.449275362,0 days 00:21:36.739130434,0 days 00:37:55.318840579,3.0,1.0,0.0,9,0,18,35,34,8,6,15,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-20,42,0 days 00:10:04.761904761,0 days 00:21:00,0 days 00:32:10.809523809,7.0,0.0,0.0,3,0,11,20,22,3,5,3,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-21,73,0 days 00:06:20.164383561,0 days 00:49:33.671232876,0 days 00:59:19.068493150,5.0,0.0,0.0,4,0,14,36,37,4,4,14,13,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
