Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CATAMARCA,Zona Inicial_Z-CHACO,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-JUJUY,Zona Inicial_Z-LA RIOJA,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-MISIONES,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TIERRA DEL FUEGO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CATAMARCA,Provincia_CHACO,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_ENTRE RIOS,Provincia_JUJUY,Provincia_LA RIOJA,Provincia_MENDOZA,Provincia_MISIONES,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TIERRA DEL FUEGO,Provincia_TUCUMAN,Color Curso_ROJO,Internó_SI
2022-02-22,26,0 days 00:04:49.461538461,0 days 00:40:25.923076923,0 days 00:47:33.269230769,1.0,3.0,2.0,13,0,2,14,12,0,1,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8
2022-02-23,27,0 days 00:01:34.518518518,0 days 01:17:12.777777777,0 days 00:32:43.444444444,2.0,1.0,5.0,14,0,0,17,10,1,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
2022-02-24,34,0 days 00:18:03.852941176,0 days 01:18:46.882352941,0 days 00:58:17.323529411,7.0,3.0,3.0,12,0,2,20,14,1,0,14,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7
2022-02-25,26,0 days 00:10:18.884615384,0 days 00:46:37.230769230,0 days 00:59:28.307692307,2.0,14.0,4.0,18,0,0,17,9,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
2022-02-26,29,0 days 00:03:22.137931034,0 days 00:29:59.689655172,0 days 00:35:31.896551724,4.0,3.0,0.0,18,0,1,19,10,1,2,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
2022-02-27,24,0 days 00:01:25.500000,0 days 00:27:08.500000,0 days 00:30:48.916666666,3.0,0.0,7.0,14,0,3,16,8,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5
2022-02-28,21,0 days 00:14:35.380952380,0 days 01:40:07.333333333,0 days 00:53:15.809523809,9.0,2.0,0.0,10,0,2,12,9,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
2022-03-01,31,0 days 00:08:13.645161290,0 days 00:49:03.064516129,0 days 00:59:10.451612903,5.0,3.0,4.0,19,0,2,19,12,1,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9
2022-03-02,35,0 days 00:02:52.685714285,0 days 01:37:53.600000,0 days 01:07:08.885714285,3.0,3.0,3.0,19,0,0,20,15,0,4,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
2022-03-03,36,0 days 00:02:24.666666666,0 days 00:55:19.500000,0 days 00:59:44.222222222,4.0,4.0,8.0,16,0,3,24,12,0,4,11,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,7
